UniquePC,Date,Time,GroupNo,Group Condition,zTreeSubject,zTreePC,QualPC,IndiDec,TimeConfirmIndividualDecisionOK,Expl1,Expl2,Expl3,GrpDec,Age,Gender,GRP1,GRP2,GRP3,GRP3_rs,GRP4,GRP4_rs,GRP5,GRP5_rs,GRP6,GRP7,GRP7_rs,GRP8,GRP8_rs,GRP9,GRP9_rs,GRP10,GRP11,GRP12,GRP12_rs,GRP13,GRP14,GRP_total,MA,BLF1,BLF2,AC,CK,EI,Don,WA,V2,V3,V4,SC0_0,SC0_1,SC0_2,Q51,Q42,Q41_1,Q41_2,Q41_3,Q41_4,Q12_1,Q12_1_rs,Q12_2,Q12_2_rs,Q12_3,Q12_4,Q12_4_rs,Q12_5,Q12_5_rs,Q12_6,Q12_7,AOM_total,Q43_1,Q43_2,Q43_3,Q43_4,Q13,Q15,Q14,Q44_1,Q44_2,Q44_3,Q44_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q45_1,Q45_2,Q45_3,Q45_4,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,EWV_ductile,EWV_elastic,Q46_1,Q46_2,Q46_3,Q46_4,Q16_1,Q16_2,Q16_2_rs,Q16_3,Q16_3_rs,Q16_4,Q16_5,Q16_6,Q16_6_rs,Q16_7,Q16_7_rs,Q16_8,Q16_9,Q16_9_rs,Q38_1,Q38_2,Q38_3,Q38_3_rs,Q38_4,Q38_4_rs,Q38_5,Q38_6,Q38_6_rs,Q38_7,Q38_7_rs,Q38_8,Q38_9,NFC_total,Q47_1,Q47_2,Q47_3,Q47_4,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q48_1,Q48_2,Q48_3,Q48_4,Q36_1,Q36_2,Q36_2_rs,Q36_3,Q36_4,Q36_4_rs,Q36_5,Q36_6,Q36_7,Q36_8,Q36_8_rs,Q39_1,Q39_1_rs,Q39_2,Q39_3,Q39_3_rs,Q39_4,Q39_4_rs,Q39_5,Q39_6,Q39_6_rs,Q39_7,STS_total,Q49_1,Q49_2,Q49_3,Q49_4,Q18,Q16_4,Q16_5,Q16_global,Q17_4,Q17_5,Q17_global,Q19_4,Q19_5,Q19_global,Q20_4,Q20_5,Q20_global,Q21_4,Q21_5,Q21_global,Q22_4,Q22_5,Q22_global,Q23_4,Q23_5,Q23_global,Q24_4,Q24_5,Q24_global,Q25_4,Q25_5,Q25_global,Q26_4,Q26_5,Q26_global,Q27_4,Q27_5,Q27_global,Q28_4,Q28_5,Q28_global,Q29_4,Q29_5,Q29_global,Q30_4,Q30_5,Q30_global,Q31_4,Q31_5,Q31_global,Q32_4,Q32_5,Q32_global,KPF_global_total,Q50_1,Q50_2,Q50_3,Q50_4,Q1,Q2,Q3
27,180516,1300,7,4,3,3,403,4,-2159,"Graph D is correct because the amount of atmospheric CO2 just can stabilises if the absortion rate is equal to the emissions rate. If the emissions are greater than the absortion, ","the amount of CO2 will increase. If the absortion is greater than the emissions, the amount of CO2 will decrease. ", ,4,21,1,4,5,3,3,3,3,1,5,2,5,1,5,1,2,4,3,2,2,4,5,5,47,4,4,60,3,3,10%,25,How much people know about how to deal with climate change,18/05/2016 12:44,18/05/2016 13:20,1,0,0,0,403,1,9.771,72.909,74.959,13,2,6,1,7,7,1,7,2,6,6,4,43,22.208,189.911,191.145,6,0.05,47,5,3.943,44.511,49.958,11,3,2,1,2,1,1,2,1,1,1,11.81,117.253,123.52,18,5,2,4,4,1,4,2,5,1,5,1,2,21,15,23.5,188.975,189.876,33,8,2,8,5,5,4,8,5,5,3,7,6,3,7,3,5,5,5,2,8,5,2,8,8,2,3,5,102,13.322,64.456,65.591,9,4,1,1,1,1,1,1,1,11.058,148.314,148.739,22,6,1,7,6,3,5,6,7,6,3,5,3,5,7,2,6,5,3,7,1,7,6,89,24.785,76.361,80.579,18,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,1.982,8.581,10.864,3,21,6,2
28,180516,1300,7,4,4,4,404,4,-2203,"In order to the CO2 concentration stabilises, it is necessary that the the rate of emission and absorption become the same, otherwise the concentration would keep changing.",The Figure that shows the same rate of CO2 emissions and absorption in  the year of 2100 is the figure D., ,4,23,2,5,5,4,2,1,5,3,3,2,3,3,5,1,1,5,1,1,1,5,5,5,48,4,4,0,2,2,30%,25,It is about understanding the process of climate change,18/05/2016 12:45,18/05/2016 13:52,1,0,0,0,404,1,5.905,142.57,144.042,13,1,7,1,7,3,1,7,5,3,7,6,40,18.083,221.634,234.004,7,5,47,5,21.996,73.22,96.78,10,2,2,3,2,1,1,2,1,1,2,25.779,202.57,205.871,12,4,5,5,1,2,4,1,5,1,1,1,2,21,11,45.599,347.11,349.495,23,6,2,8,3,7,5,7,3,7,2,8,7,2,8,5,6,3,7,3,7,3,1,9,3,7,4,6,117,31.32,155.118,155.957,10,3,2,1,2,2,1,1,1,23.751,831.394,831.939,17,5,1,7,5,1,7,7,7,5,3,5,1,7,7,5,3,3,5,5,4,4,5,84,74.293,261.137,262.083,16,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,594.431,614.831,615.932,3,23,4,1
31,180516,1300,9,2,1,8,208,4,-2194,"To stabilise emissions down to 420ppm, we would need to dramatically reduce emisssions. By reducing emissions annually until 2100, the excess Co2 would have gradually","been absorbed by the natural processes. As there is currently 400ppm Co2 concentration in the atmosphere, 20ppm by 2100 is not a large number to make up in terms of emissions.","Continuous emissions above +5Gtc or +6Gtc will dramatically add to the ppm in the atmosphere. Therefore, dramatic reduction of emissions is required alongside increased absorption",4,28,1,4,3,3,3,2,4,2,4,4,2,4,4,2,2,4,3,2,2,4,2,4,47,4,2,96,3,3,20%,10,An individuals mental processes in response to sentiment regarding climate change and the level of action which would be willingly taken. ,18/05/2016 12:45,18/05/2016 13:17,1,0,0,0,208,1,8.2,78.234,79.428,16,6,2,2,6,7,1,7,1,7,7,2,38,2.984,261.106,277.141,6,0.05,24,5,3.252,24.365,25.572,10,3,1,1,1,1,1,1,1,1,1,7.921,61.187,61.646,15,4,4,5,2,4,5,4,4,1,1,1,1,26,10,11.156,125.173,125.838,23,7,3,7,2,8,6,7,6,4,1,9,8,2,8,7,7,6,4,1,9,6,1,9,2,8,8,7,129,6.559,32.561,33.418,9,2,1,1,1,1,1,1,1,8.577,100.61,101.418,18,7,2,6,7,2,6,6,6,6,2,6,2,6,7,1,7,3,5,6,2,6,6,93,18.788,80.417,81.937,16,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,1.926,6.342,8.539,3,28,3,2
32,180516,1300,9,2,2,7,207,4,-2128,"For atmospheric concentration of CO2 to stabalise, CO2 emissions and Absorption need to cancel each other out. If emissions are higher, concentration will rise.","If Absorption is higher, concentration will fall. ", ,4,21,1,4,5,2,4,4,2,2,4,4,4,2,5,1,3,3,2,2,2,4,4,4,45,4,4,84,3,3,20%,5,"Understanding people's opinions about climate change, and what information forms those opinions. ",18/05/2016 12:54,18/05/2016 13:16,1,0,0,0,207,1,8.411,70.037,74.623,12,5,3,2,6,7,1,7,1,7,7,4,41,62.259,116.004,164.943,3,5,47,5,2.764,41.365,43.188,14,3,3,1,3,1,1,1,1,1,1,8.89,69.172,71.169,16,5,4,5,1,5,4,2,5,1,1,1,2,26,10,14.892,119.705,120.487,27,9,1,9,5,5,6,8,2,8,2,8,7,2,8,7,5,4,6,2,8,7,2,8,5,5,9,8,131,8.408,44.025,46.296,8,4,1,1,1,1,1,1,1,11.584,129.091,129.979,25,6,3,5,7,2,6,7,7,7,4,4,3,5,7,2,6,2,6,7,3,5,5,90,14.585,53.266,55.566,17,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,7,1.884,7.492,9.24,4,21,3,2
33,190516,1330,10,4,1,4,404,4,-1881,the amount of CO2 emissions in 2100 matches the amount of absorption at this time so the amount of CO2 in the air would stabilise, , ,3,40,1,5,4,4,2,1,5,1,5,4,1,5,4,2,1,5,4,4,1,5,5,5,60,3,4,80,3,3,10%,20,Attitudes towards climate change,19/05/2016 13:23,19/05/2016 14:00,1,0,0,0,404,1,18.259,101.306,102.557,16,3,5,1,7,7,1,7,1,7,7,4,44,17.57,261.274,281.883,3,10,47,5,9.524,61.996,65.242,11,2,1,1,2,1,1,3,1,1,1,16.694,108.669,118.216,14,3,2,4,1,4,4,5,5,1,2,1,2,25,9,16.515,183.158,184.876,28,3,2,8,3,7,5,6,4,6,1,9,6,1,9,5,5,5,5,2,8,7,2,8,5,5,8,6,116,21.18,90.667,91.37,10,4,1,1,1,1,1,1,1,20.137,162.639,163.609,16,6,4,4,7,3,5,6,7,6,4,4,2,6,7,1,7,1,7,6,3,5,5,88,38.045,85.66,87.318,16,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,2.647,8.062,9.066,3,40,6,2
34,190516,1330,10,4,2,3,403,3,-1988,"atmosphoric CO2 would not disappear, we're at 400ppm CO2 in 2000, and for it to stabilize at 420ppm 2100, emission should be reduced.", , ,3,29,1,5,5,5,1,3,3,1,5,5,3,3,5,1,1,5,5,5,1,5,5,5,58,3,3,48,3,3,30%,25,Mental behaviours with regards to climate change,19/05/2016 13:23,19/05/2016 13:51,1,0,0,0,403,1,7.001,45.648,46.771,12,4,4,3,5,7,1,7,3,5,7,4,39,55.107,137.77,145.172,5,5,47,5,3.932,23.924,25.107,11,3,1,1,1,1,1,1,1,1,1,8.198,65.932,66.768,13,5,2,5,1,5,4,5,5,1,3,1,1,29,9,9.173,116.522,118.017,25,8,5,5,6,4,6,5,5,5,5,5,8,5,5,8,6,8,2,1,9,5,1,9,5,5,9,9,113,10.712,36.815,38.374,8,3,1,1,1,1,1,1,1,5.479,63.238,65.046,15,7,5,3,7,1,7,7,7,7,6,2,7,1,7,1,7,4,4,7,1,7,7,87,23.259,64.458,65.782,18,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,2,1,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,2.445,12.213,12.633,5,29,6,2
35,190516,1330,10,4,3,2,402,3,-1916,I came to my decision of graph C through  a process of elimination. Graph A shows an increase in emissions which would increase the atmospheric CO2 concentration. B seems ,plausible but it is not enough to just plateau our current emmisions to reach 420ppm. and D seems highly unlikely to cut our emmisions by half in the next 30 yrs. C seems like the, only possible solution as it slightly decreases our emmissions to a managable level and gives us 75(odd) yrs to plateau at 420ppm,3,18,3,5,4,3,3,1,5,1,5,4,4,2,3,3,3,3,5,5,1,5,4,4,57,3,3,80,2,3,20%,12,societal views on climate change,19/05/2016 13:21,19/05/2016 13:51,1,0,0,0,402,1,10.852,52.851,53.91,13,3,5,4,4,6,1,7,6,2,6,5,35,6.434,77.594,102.555,4,5,47,5,3.804,29.044,33.835,11,2,1,1,2,1,1,2,1,1,1,15.051,72.842,73.692,12,3,5,3,3,2,4,1,4,1,2,1,2,17,14,8.875,114.185,115.089,28,5,3,7,6,4,7,5,2,8,2,8,6,3,7,4,5,4,6,3,7,7,2,8,6,4,6,8,112,12.049,59.145,60.512,8,4,2,1,1,2,1,1,1,11.764,104.482,105.651,15,6,1,7,6,3,5,6,6,6,1,7,1,7,7,1,7,1,7,3,1,7,2,89,16.798,48.998,51.478,18,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,2.691,9.619,11.367,3,18,6,2
36,190516,1330,10,4,4,1,401,4,-2065,"4 is selected because at present CO2 emissions is two times more than its absorption therefore it need to be reduce upto al easet equal to absorption, in the mean time CO2 absorption also ",redused due to human activities such as deforestation ubanization ect.. Because of these resons while decreasing the CO2 absorption its increase the CO2 emmisions.  ,"Therefore, if we required to reach the target that CO2 stabilised 420 emission and absorption should be same     ",3,43,2,4,4,4,2,2,4,2,4,4,2,4,4,2,3,3,3,4,2,4,5,5,52,4,4,0,3,3,40%,25,it is current requirment ,19/05/2016 16:09,19/05/2016 14:48,0,0,0,0,401,1,28.33,280.324,304.004,8,5,3,3,5,5,4,4,5,3,6,4,30,85.444,370.873,377.834,3,10,47,20,29.474,263.921,269.088,10,4,1,1,3,1,1,1,1,1,2,35.367,295.188,297.127,13,4,2,3,1,4,4,2,3,3,3,4,4,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,190516,1330,11,2,1,5,205,3,-1605,"not b because if rate of emission is stable, there will be a slow but steady increase in CO2","not a because if rate of emission is greater than rate of absportion by more than 2x, atmospheric CO2 will not stabilise","not d because if rate of CO2 emission = absorption, atmospheric CO2 will not increase from 400-420ppm",4,27,1,5,5,5,1,4,2,2,4,2,1,5,2,4,1,5,1,4,1,5,4,4,51,4,4,92,3,3,20%,25,How different thinking patters and personality factors affect the way people think about climate change,19/05/2016 13:21,19/05/2016 13:50,1,0,0,0,205,1,6.807,39.806,45.483,10,5,3,4,4,5,1,7,2,6,6,4,35,8.317,74.019,81.237,6,5,47,5,2.919,32.51,33.07,10,3,1,1,3,1,1,3,1,1,3,12.647,68.726,69.521,14,5,3,5,4,5,5,5,5,2,2,1,1,30,13,6.909,80.023,81.403,31,8,2,8,4,6,5,7,8,2,2,8,7,3,7,6,7,4,6,3,7,5,2,8,3,7,6,6,116,6.879,35.47,36.309,8,4,1,1,1,1,1,1,1,4.61,86.328,87.273,19,6,2,6,6,5,3,6,7,7,4,4,2,6,7,5,3,6,2,6,2,6,5,80,6.864,58.811,60.34,24,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,1.496,6.872,7.635,3,27,6,2
38,190516,1330,11,2,2,6,206,4,-1629,Any case where CO2 emission rate is greater than CO2 absorption rate will lead to a net increase in CO2 concentration above the allowed goal of 420ppm., , ,4,24,2,3,4,4,2,4,2,2,4,3,4,2,3,3,3,3,3,3,2,4,4,4,44,4,3,60,2,2,10%,10,Human responses to organised activities to reduce the speed of climate change onset,19/05/2016 13:19,19/05/2016 13:51,1,0,0,0,206,1,9.017,52.262,62.016,18,3,5,2,6,6,1,7,1,7,6,3,40,3.635,18.763,63.139,3,5,47,5,3.214,41.533,42.26,13,2,1,2,2,1,1,3,1,1,2,11.745,47.576,48.795,13,4,4,4,3,2,4,4,3,3,3,2,3,21,18,7.064,103.646,104.544,23,6,3,7,3,7,2,6,4,6,2,8,7,5,5,4,4,6,4,5,5,4,2,8,7,3,5,4,95,7.909,48.708,51.651,11,3,2,1,1,1,3,3,1,22.206,108.32,108.908,19,6,3,5,6,3,5,6,7,5,2,6,2,6,6,1,7,2,6,6,2,6,6,89,14.731,57.562,58.436,17,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,2.206,9.982,10.706,3,24,4,1
39,190516,1330,12,2,1,8,208,2,-1919,"Since atmospheric [CO2] is dependant upon the rate of both CO2 emissions and absorption, once both of these factors have reached a plateau in their values,  the value for ", atmospheric [CO2] should also accordingly reach a plateau. Figure C shows a decrease in CO2 emissions meaning that rather than the atmospheric [CO2] increasing from 400 to 420," it would go down before plateauing. Figure D similarly shows the same thing as Figure C. Figure A doesn't show a plateau therefore, it would have to be Figure B?",2,19,1,5,5,3,3,2,4,2,4,5,3,3,4,2,1,5,5,4,2,4,3,4,56,2,4,80,3,2,20%,10,Our understanding and opinions regarding climate change,19/05/2016 13:22,19/05/2016 13:54,1,0,0,0,208,1,391.15,480.244,481.15,22,5,3,3,5,6,1,7,3,5,7,4,37,21.938,99.273,120.578,5,10,24,100,3.292,34.291,41.53,11,2,3,1,1,1,1,3,1,1,1,9.033,72.76,75.01,12,4,2,2,1,3,4,4,5,1,1,1,2,22,8,8.523,126.131,127.122,31,7,4,6,4,6,5,4,5,5,5,5,5,5,5,7,6,5,5,3,7,4,3,7,4,6,4,3,97,11.376,96.846,105.734,14,4,1,1,3,3,1,2,1,6.711,89.269,89.598,17,7,3,5,6,4,4,5,5,4,2,6,2,6,6,2,6,2,6,5,4,4,4,79,14.576,81.19,84.641,20,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,4,1.881,14.785,15.893,5,19,6,2
40,190516,1330,12,2,2,7,207,3,-1717,"I'm not really sure to be honest, none of the other graphs really seemed to be correct either, so I just kind of went with an ititial instinct. ","But by the looks of the graph, both the absorption and emission lines reach an assymptote that isn't quite on each other, or too far apart, which can allow for a certain amount",of CO2 to be left in the atmosphere.,2,18,1,5,5,5,1,1,5,1,5,4,1,5,4,2,1,5,5,5,1,5,5,5,62,2,4,80,2,2,20%,10,To find out what a range of different people from different background etc know and care about the environment and the effect that climate change will have on the world.,19/05/2016 13:22,19/05/2016 13:55,1,0,0,0,207,1,2.911,81.605,82.431,23,2,6,1,7,5,1,7,2,6,7,4,42,1.928,164.107,168.957,9,5,47,5,3.189,27.133,34.932,11,2,1,1,1,1,1,1,1,1,2,9.156,110.736,111.316,15,4,1,4,2,3,4,4,4,2,3,1,2,23,11,8.978,130.407,131.112,28,5,2,8,2,8,7,7,5,5,3,7,3,7,3,5,6,8,2,3,7,6,3,7,6,4,5,6,101,10.774,72.704,74.024,9,4,2,2,1,1,1,1,1,11.17,113.866,114.773,21,7,7,1,7,6,2,5,7,5,1,7,6,2,7,2,6,2,6,6,2,6,5,79,17.425,86.952,88.537,20,1,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,1,2,0,1,2,0,8,1.782,10.182,11.77,6,18,4,2
41,190516,1500,13,4,1,4,404,3,-2439,choose figure A beacuse the it says CO2 emissions are almost two times more than CO2 absorption. the trend of emmission should been incresing from 1900., , ,4,19,1,5,5,2,4,1,5,2,4,5,1,5,2,4,1,5,5,5,1,5,5,5,67,4,2,88,3,3,20%,25,about understanding of climate change and how much effort you willing to pay ,19/05/2016 14:42,19/05/2016 15:22,1,0,0,0,404,1,9.985,94.035,99.876,13,4,4,1,7,4,5,3,2,6,4,5,33,18.047,328.815,331.065,7,5,36,5,4.301,64.182,67.183,12,3,1,3,2,1,1,1,1,1,3,9.561,127.06,127.824,17,5,1,4,1,4,4,2,5,1,1,1,3,24,8,13.54,152.968,153.459,36,3,6,4,4,6,5,7,8,2,2,8,7,2,8,7,5,4,6,3,7,5,3,7,5,5,5,4,101,12.415,79.726,81.214,10,2,1,1,1,1,1,1,1,16.026,127.84,128.257,19,5,1,7,4,2,6,4,1,4,2,6,4,4,6,5,3,2,6,6,2,6,4,72,15.95,59.934,62.377,16,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,6,1.935,9.238,10.122,3,19,3,2
42,190516,1500,13,4,2,3,403,1,-2436,"In my opnion Figure A is the most correct because the CO2 emission is still increasing after 2000, while the others the emission is stablished or decreasing. ", , ,4,21,2,5,5,2,4,5,1,1,5,2,5,1,4,2,2,4,4,1,4,2,3,2,41,1,8,60,3,4,10%,0,It is a good idea to join people to think about climate changes and make good decisions,19/05/2016 14:40,19/05/2016 15:18,1,0,0,0,403,1,6.691,76.954,77.319,25,2,6,1,7,7,4,4,1,7,7,5,43,6.343,58.581,58.943,5,10,24,5,5.081,58.28,61.064,12,3,1,1,1,1,1,2,1,1,2,9.629,104.923,105.229,20,4,2,4,1,3,4,3,5,5,2,1,2,23,13,18.905,202.789,203.909,52,7,2,8,4,6,9,7,5,5,2,8,7,3,7,4,5,8,2,1,9,9,2,8,3,7,5,8,121,2.196,66.866,67.561,20,8,1,1,1,1,1,1,1,12.574,149.212,150.301,33,6,2,6,7,4,4,5,5,5,2,6,3,5,6,4,4,6,2,5,2,6,4,76,21.779,76.05,76.347,19,1,2,1,1,2,1,1,2,1,1,1,2,0,2,2,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,12,7.024,8.632,9.811,2,,,
43,190516,1500,13,4,3,1,401,4,-2440,I think that there is a need to reduce the CO2 emission to a level where it is same as the absorption rate to maintain the ppm at 420. Other graphs have CO2 emission higher than ,Absorption rate and this will not achieve 420ppm by 2100., ,4,21,2,4,4,4,2,2,4,2,4,4,3,3,4,2,1,5,4,4,1,5,5,5,55,4,4,96,3,3,30%,15,This is quite an interesting study which introduce collaboration. I think it helped us 4 to learn more about the environment,19/05/2016 14:49,19/05/2016 15:19,1,0,0,0,401,1,2.597,23.149,23.936,10,4,4,1,7,7,1,7,1,7,7,4,43,8.187,128.408,192.521,3,5,24,1,8.336,65.199,69.147,10,3,2,1,1,1,1,2,1,1,2,16.222,104.428,105.596,20,5,2,5,1,5,5,4,5,1,2,1,1,29,8,16.301,152.386,153.219,38,6,1,9,2,8,9,9,7,3,3,7,7,7,3,8,8,7,3,1,9,4,1,9,5,5,7,8,122,22.238,85.213,87.3,14,4,1,1,1,1,1,1,1,13.888,113.862,114.521,24,7,2,6,6,2,6,7,7,6,5,3,6,2,6,2,6,4,4,6,2,6,6,84,11.704,58.167,59.7,16,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,0,2.214,6.685,7.537,4,21,6,1
44,190516,1500,13,4,4,2,402,1,-2579,"Figure A is the most correct option because according to Figure 3, the CO2 atmospheric concentration will increase slightly then level out at 420 ppm. If atmospheric concentration","increases that  means that CO2 emissions will also increase. The only graph that shows an increasing trend in CO2 emissions is A - in graphs B, C, and D emissions stay the same ",or decrease.,4,23,1,5,4,2,4,3,3,1,5,4,1,5,3,3,1,5,4,4,1,5,3,5,59,4,4,84,3,3,20%,10,I think this study is is trying to gauge how much people know about climate change and their reasoning towards their decisions about action on climate change.,19/05/2016 14:49,19/05/2016 15:21,1,0,0,0,402,1,5.17,74.121,75.884,10,3,5,1,7,7,2,6,2,6,7,4,42,7.56,353.908,373.917,13,5,24,5,3.688,46.608,48.521,10,3,1,2,1,1,1,2,1,1,2,34.876,119.015,122.298,12,5,2,4,2,5,4,4,5,1,2,1,2,27,10,18.551,140.776,142.663,25,7,5,5,6,4,4,5,7,3,3,7,7,4,6,3,3,3,7,5,5,5,2,8,4,6,7,4,96,13.259,48.365,49.716,8,4,1,1,1,1,1,1,1,7.198,115.651,119.252,16,5,1,7,5,2,6,6,7,7,1,7,2,6,7,2,6,1,7,7,3,5,5,93,13.042,60.485,74.31,16,1,2,1,1,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,8,1.919,10.591,13.314,3,23,6,2
45,190516,1500,14,2,1,5,205,4,-2543,I chose Figure D because the absorption and emission of Co2 need to be the same in order to stabilize the athmospheric Co2. ,All other options show scenarios where the emissions are higher than the absorption which would lead to a further increase of Co2 in the athmosphere., ,4,30,1,4,5,2,4,1,5,2,4,3,2,4,4,2,1,5,4,2,3,3,2,4,51,4,4,96,3,3,30%,15,About my view on climate change and how climate change is being dicussed.,19/05/2016 14:27,19/05/2016 15:22,1,0,0,0,205,1,18.167,88.768,89.651,12,5,3,1,7,7,1,7,2,6,7,7,44,18.982,107.079,148.441,4,5,47,5,5.653,68.038,76.589,11,3,1,3,2,1,1,2,1,1,2,28.385,182.955,186.085,14,5,1,2,1,2,5,4,5,1,2,1,1,23,7,15.362,201.412,202.542,31,8,1,9,2,8,8,9,3,7,2,8,5,5,5,6,7,2,8,1,9,5,2,8,4,6,7,7,130,15.256,106.049,107.282,9,4,1,1,1,1,1,1,1,13.626,181.708,183.901,20,7,1,7,7,2,6,7,6,6,2,6,2,6,7,1,7,5,3,6,1,7,6,94,28.828,67.661,69.173,16,1,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,3,4.833,18.905,20.525,3,30,6,2
46,190516,1500,14,2,2,6,206,4,-2353,"With a 3GtC/year decrease in emissions, it would relieve the absorption \qparty\q about 2 bit over a year's worth of CO2 to absorb., per year. So in about 84 years' time, that should",be enough \qrelief\q years to cover up the damage done during the period between Industrial Revolution until 2016 (when the emission reduction starts)., ,4,19,3,5,3,5,1,1,5,1,5,5,5,1,5,1,1,5,5,5,1,5,5,5,56,4,5,100,3,3,10%,25,"Assessing how much one knows about climate change, how it affects us, how bad it is now, and how pressing it is to take measures to solve it now",19/05/2016 14:28,19/05/2016 15:20,1,0,0,0,206,1,4.173,63.3,64.661,13,6,2,1,7,5,1,7,4,4,5,4,34,5.011,238.098,293.979,6,5,24,20,3.701,46.741,47.124,11,3,1,1,2,1,1,3,1,1,2,18.406,93.919,96.881,13,5,2,2,1,5,4,4,4,1,1,1,2,24,8,17.521,186.605,188.156,25,6,9,1,7,3,5,5,9,1,5,5,6,5,5,5,6,4,6,4,6,5,1,9,4,6,5,6,91,11.646,53.792,55.008,8,5,1,1,1,1,1,1,1,15.452,121.065,122.866,15,3,1,7,5,1,7,7,7,7,4,4,2,6,7,1,7,1,7,7,1,7,7,95,8.685,48.717,50.671,16,1,1,2,0,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,1,2,0,10,2.927,7.951,9.636,3,19,6,4
